emp_id,status,first_name,last_name,dob,addr1,addr2,city,latitude,longitude,state,zip,home_phone,mobile,pager,home_email,job_title,hire_date,work_phone,work_email,reports_to,dept_num,products,products[1-2],languages,languages[1-4],tools,tools[1-6]
1,Inactive,Tucky,Nizard,10/26/1970,701 Stoughton Crossing,,Sacramento,38.4826,-121.4006,CA,95828,1(916)392-5121,1(720)697-1153,,,Clinical Specialist,6/14/2010,1(803)285-7908,Tucky.Nizard@mountaintop.com,2,5,"BOM",,"XSLT",,"node.js,Windows,Nifi",
2,Active - Regular Exempt (Full-time),Ken,Whopples,3/10/1970,3067 Loftsgordon Plaza,,Dallas,32.7673,-96.7776,TX,75379,1(214)262-8546,1(614)778-0384,,,Account Executive,6/15/2014,1(225)317-5931,Ken.Whopples@mountaintop.com,1,1,"accounts receivable",,"JavaScript,XSLT,C#,RDF",,"node.js,Nifi,Linux,Hadoop,Oracle",
3,Active - Regular Non-Exempt (Full-time),Waverley,Seven,5/2/1991,60315 Forest Dale Park,,Jamaica,40.6914,-73.8061,NY,11447,1(917)323-5660,1(901)572-7863,,,VP Product Management,4/30/2019,1(804)498-1630,Waverley.Seven@mountaintop.com,1,2,"general ledger,logistics",,"C#",,"Windows,Nifi",
4,Active - Regular Exempt (Full-time),Francesca,Dimitrijevic,1/23/1977,2701 Transport Point,#2,Jacksonville,30.329,-81.8176,FL,32220,1(904)285-5034,1(804)908-0415,,,Programmer Analyst II,7/6/2018,1(830)657-3688,Francesca.Dimitrijevic@mountaintop.com,3,5,"general ledger,procurement",,"XSLT,SPARQL",,"Windows,SQL Server",
5,Active - Regular Exempt (Part-time),Zola,Manchett,3/1/1986,823 Bobwhite Drive,,Cape Coral,26.6599,-81.8934,FL,33915,1(239)304-3717,1(540)479-8296,,,Assistant Media Planner,11/20/2005,1(626)625-9650,zola.manchett@mountaintop.com,3,2,"procurement,accounts receivable",,"XQuery",,"Nifi,Teradata,Oracle,Mulesoft,Kafka,Hadoop",
6,Active - Regular Exempt (Full-time),Ivor,Bourcq,4/17/1975,3322 Rowland Place,,Washington,38.8933,-77.0146,DC,20226,1(202)463-9956,1(205)463-0889,,,Health Coach IV,3/14/2014,1(828)794-1120,Ivor.Bourcq@mountaintop.com,4,3,"BOM,general ledger",,"JavaScript,Java",,"Linux",
7,Active - Regular Non-Exempt (Part-time),Jacob,Crichmere,8/11/1971,03 Parkside Circle,,Milwaukee,43.0685,-87.9715,WI,53210,1(262)305-5749,1(901)287-9023,,,Automation Specialist IV,1/1/2015,1(817)716-3208,Jacob.Crichmere@mountaintop.com,1,2,"BOM",,"RDF",,"Linux,Windows",
8,Active - Regular Non-Exempt (Full-time),Gabbie,Forsdike,4/29/1972,9 Thackeray Court,,Delray Beach,26.6459,-80.4303,FL,33448,1(561)642-9228,1(213)325-6041,,,Help Desk Operator,6/27/2017,1(941)518-6505,Gabbie.Forsdike@mountaintop.com,2,2,"CRM,BOM",,"Java,C#,XSLT,SPARQL",,"SQL Server,Linux,Oracle,Kafka,Hadoop,Nifi",
9,Active - Regular Exempt (Part-time),Kali,Thornham,5/30/1973,94 Becker Road,,Baton Rouge,30.5159,-91.0804,LA,70826,1(225)303-3303,1(682)830-6816,,,Marketing Assistant,6/2/2011,1(202)253-0730,Kali.Thornham@mountaintop.com,3,5,"accounts receivable",,"SPARQL,XQuery,Java,RDF",,"Teradata,Mulesoft,node.js,Oracle",
10,Active - Regular Non-Exempt (Part-time),Bren,Alliband,9/13/1980,57398 Sundown Pass,Apt. B,Chicago,41.7454,-87.7135,IL,60652,1(312)223-2274,1(202)533-0360,,,Software Consultant,7/6/2008,1(360)675-3074,Bren.Alliband@mountaintop.com,5,4,"accounts receivable",,"C#,JavaScript",,"Nifi,SQL Server,Windows",
